Method,MAE (mean),MAE (std),MAE (min),RAE (mean),RAE (std),RAE (min),RMSE (mean),RMSE (std),RMSE (min),RRSE (mean),RRSE (std),RRSE (min),MAPE (mean),MAPE (std),MAPE (min),R2 (mean),R2 (std),R2 (min)
HA,346.057,0.000,346.057,1.761,0.000,1.761,385.439,0.000,385.439,1.599,0.000,1.599,35.586,0.000,35.586,0.000,0.000,0.000
ARIMA,120.909,0.000,120.909,0.615,0.000,0.615,161.509,0.000,161.509,0.670,0.000,0.670,14.332,0.000,14.332,0.551,0.000,0.551
SVR L,120.725,0.000,120.725,0.614,0.000,0.614,167.503,0.000,167.503,0.695,0.000,0.695,13.664,0.000,13.664,0.517,0.000,0.517
SVR L+W,120.141,0.000,120.141,0.611,0.000,0.611,166.399,0.000,166.399,0.690,0.000,0.690,13.649,0.000,13.649,0.523,0.000,0.523
SVR L+W+E,104.217,0.000,104.217,0.530,0.000,0.530,147.354,0.000,147.354,0.611,0.000,0.611,11.672,0.000,11.672,0.626,0.000,0.626
SVR L+W+E+LF,102.978,0.000,102.978,0.524,0.000,0.524,145.836,0.000,145.836,0.605,0.000,0.605,11.555,0.000,11.555,0.634,0.000,0.634
SVR L+W+E+LF+EL,97.949,0.000,97.949,0.498,0.000,0.498,139.115,0.000,139.115,0.577,0.000,0.577,11.035,0.000,11.035,0.667,0.000,0.667
GP L,145.194,0.000,145.194,0.739,0.000,0.739,199.424,0.000,199.424,0.827,0.000,0.827,14.838,0.000,14.838,0.315,0.000,0.315
GP L+W,127.325,0.000,127.325,0.648,0.000,0.648,176.938,0.000,176.938,0.734,0.000,0.734,13.673,0.000,13.673,0.461,0.000,0.461
GP L+W+E,103.877,0.000,103.877,0.529,0.000,0.529,146.184,0.000,146.184,0.607,0.000,0.607,11.628,0.000,11.628,0.632,0.000,0.632
GP L+W+E+LF,103.570,0.000,103.570,0.527,0.000,0.527,145.599,0.000,145.599,0.604,0.000,0.604,11.576,0.000,11.576,0.635,0.000,0.635
GP L+W+E+LF+EL,99.998,0.000,99.998,0.509,0.000,0.509,141.109,0.000,141.109,0.585,0.000,0.585,11.233,0.000,11.233,0.657,0.000,0.657
