HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
35.586,14.332,13.664,13.649,11.672,11.555,11.035,14.838,13.673,11.628,11.576,11.233,
