HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
0.000,0.551,0.517,0.523,0.626,0.634,0.667,0.315,0.461,0.632,0.635,0.657,
