HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
1.761,0.615,0.614,0.611,0.530,0.524,0.498,0.739,0.648,0.529,0.527,0.509,
