HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
1.599,0.670,0.695,0.690,0.611,0.605,0.577,0.827,0.734,0.607,0.604,0.585,
