Method,MAE (mean),MAE (std),MAE (min),RAE (mean),RAE (std),RAE (min),RMSE (mean),RMSE (std),RMSE (min),RRSE (mean),RRSE (std),RRSE (min),MAPE (mean),MAPE (std),MAPE (min),R2 (mean),R2 (std),R2 (min)
LR L,119.619,0.000,119.619,0.609,0.000,0.609,164.510,0.000,164.510,0.683,0.000,0.683,13.717,0.000,13.717,0.534,0.000,0.534
LR L+W,119.179,0.000,119.179,0.606,0.000,0.606,164.009,0.000,164.009,0.680,0.000,0.680,13.709,0.000,13.709,0.537,0.000,0.537
LR L+W+E,100.877,0.000,100.877,0.513,0.000,0.513,142.710,0.000,142.710,0.592,0.000,0.592,11.555,0.000,11.555,0.649,0.000,0.649
LR L+W+E+LF,99.661,0.000,99.661,0.507,0.000,0.507,141.063,0.000,141.063,0.585,0.000,0.585,11.423,0.000,11.423,0.657,0.000,0.657
LR L+W+E+LF+EL,95.042,0.000,95.042,0.484,0.000,0.484,135.896,0.000,135.896,0.564,0.000,0.564,10.950,0.000,10.950,0.682,0.000,0.682
MLP L,120.903,1.056,119.389,0.615,0.005,0.607,161.633,0.552,160.620,0.671,0.002,0.666,14.248,0.246,13.843,0.550,0.003,0.556
MLP L+W,120.117,1.181,117.746,0.611,0.006,0.599,160.914,0.700,159.650,0.668,0.003,0.662,14.108,0.266,13.658,0.554,0.004,0.561
MLP L+W+E,100.362,0.927,98.680,0.511,0.005,0.502,140.529,0.736,139.301,0.583,0.003,0.578,11.675,0.227,11.336,0.660,0.004,0.666
MLP L+W+E+LF,99.854,0.922,98.513,0.508,0.005,0.501,139.476,0.684,138.143,0.579,0.003,0.573,11.659,0.201,11.317,0.665,0.003,0.671
MLP L+W+E+LF+EL,95.795,1.263,93.916,0.488,0.006,0.478,134.924,1.049,133.206,0.560,0.004,0.553,11.217,0.250,10.822,0.687,0.005,0.695
MLP L+W+E+LF+ET,96.034,0.777,94.708,0.489,0.004,0.482,135.417,0.799,134.095,0.562,0.003,0.556,11.136,0.150,10.781,0.684,0.004,0.690
MLP L+W+E+LF+EL+ET,93.524,0.835,92.526,0.476,0.004,0.471,132.709,0.816,131.130,0.551,0.003,0.544,10.840,0.091,10.670,0.697,0.004,0.704
