LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
119.619,119.179,100.877,99.661,95.042,121.108,119.443,101.283,99.084,94.240,96.867,93.378,
119.619,119.179,100.877,99.661,95.042,119.689,120.084,99.811,99.676,96.157,95.754,94.427,
119.619,119.179,100.877,99.661,95.042,119.916,120.126,100.650,100.210,93.916,96.052,92.526,
119.619,119.179,100.877,99.661,95.042,121.148,118.461,100.748,99.710,95.196,95.786,93.472,
119.619,119.179,100.877,99.661,95.042,121.350,119.809,99.879,99.203,95.979,94.790,92.815,
119.619,119.179,100.877,99.661,95.042,123.869,119.831,100.158,99.909,96.027,95.205,93.458,
119.619,119.179,100.877,99.661,95.042,121.214,119.106,100.478,99.499,95.837,94.937,95.003,
119.619,119.179,100.877,99.661,95.042,121.146,119.176,99.215,100.568,97.254,95.645,93.484,
119.619,119.179,100.877,99.661,95.042,120.003,119.851,99.306,100.051,94.650,96.112,92.533,
119.619,119.179,100.877,99.661,95.042,119.910,120.344,102.285,99.635,97.693,94.708,94.772,
119.619,119.179,100.877,99.661,95.042,119.991,122.641,99.445,100.417,95.817,96.432,94.044,
119.619,119.179,100.877,99.661,95.042,120.696,120.643,101.199,99.267,95.535,96.965,93.992,
119.619,119.179,100.877,99.661,95.042,120.151,122.039,101.564,99.486,96.349,95.625,93.060,
119.619,119.179,100.877,99.661,95.042,119.536,119.302,101.795,99.372,95.979,96.612,92.767,
119.619,119.179,100.877,99.661,95.042,120.690,119.607,100.244,98.688,94.370,95.800,93.032,
119.619,119.179,100.877,99.661,95.042,120.647,119.261,100.595,100.722,94.078,95.412,96.301,
119.619,119.179,100.877,99.661,95.042,121.076,119.608,101.983,99.222,95.486,96.062,93.826,
119.619,119.179,100.877,99.661,95.042,121.818,121.418,99.276,100.303,95.437,96.273,92.555,
119.619,119.179,100.877,99.661,95.042,119.389,120.746,100.271,100.328,97.464,96.434,93.746,
119.619,119.179,100.877,99.661,95.042,122.079,119.936,100.415,98.830,98.716,97.938,93.028,
119.619,119.179,100.877,99.661,95.042,120.977,120.330,100.477,99.184,97.104,95.650,94.086,
119.619,119.179,100.877,99.661,95.042,121.491,119.806,101.576,100.175,98.187,97.625,92.870,
119.619,119.179,100.877,99.661,95.042,120.608,120.590,100.018,100.280,94.302,94.794,93.309,
119.619,119.179,100.877,99.661,95.042,121.659,118.299,99.920,99.346,95.841,95.840,93.101,
119.619,119.179,100.877,99.661,95.042,120.255,120.560,100.807,98.513,94.080,95.957,92.875,
119.619,119.179,100.877,99.661,95.042,123.910,119.734,99.240,100.446,94.749,95.622,93.761,
119.619,119.179,100.877,99.661,95.042,121.579,121.069,100.887,102.224,97.113,97.202,94.451,
119.619,119.179,100.877,99.661,95.042,120.808,123.492,99.877,98.841,94.434,96.131,93.168,
119.619,119.179,100.877,99.661,95.042,120.128,117.746,98.680,102.811,95.827,96.194,93.235,
119.619,119.179,100.877,99.661,95.042,120.249,120.450,98.792,99.608,96.022,96.582,92.641,
