LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
13.717,13.709,11.555,11.423,10.950,14.215,13.931,11.988,11.587,11.011,11.397,10.800,
13.717,13.709,11.555,11.423,10.950,13.843,14.048,11.513,11.607,11.385,11.166,11.135,
13.717,13.709,11.555,11.423,10.950,14.115,13.827,11.777,11.817,10.846,11.116,10.891,
13.717,13.709,11.555,11.423,10.950,14.393,13.883,11.665,11.508,10.981,11.149,10.890,
13.717,13.709,11.555,11.423,10.950,14.331,14.107,11.659,11.673,11.266,10.929,10.778,
13.717,13.709,11.555,11.423,10.950,14.921,14.137,11.634,11.672,11.260,10.957,10.860,
13.717,13.709,11.555,11.423,10.950,14.407,13.776,11.629,11.584,11.302,11.044,10.777,
13.717,13.709,11.555,11.423,10.950,14.386,13.806,11.370,11.908,11.574,10.904,10.848,
13.717,13.709,11.555,11.423,10.950,13.933,13.997,11.564,11.635,10.916,11.048,10.747,
13.717,13.709,11.555,11.423,10.950,14.111,14.099,12.105,11.505,11.598,10.781,10.755,
13.717,13.709,11.555,11.423,10.950,14.023,14.750,11.611,11.718,11.360,11.179,10.781,
13.717,13.709,11.555,11.423,10.950,14.188,14.148,11.947,11.446,11.092,11.313,11.017,
13.717,13.709,11.555,11.423,10.950,14.009,14.508,11.839,11.574,11.304,10.985,10.802,
13.717,13.709,11.555,11.423,10.950,13.888,13.958,11.999,11.552,11.357,11.314,10.851,
13.717,13.709,11.555,11.423,10.950,14.122,13.902,11.630,11.428,11.131,11.108,10.737,
13.717,13.709,11.555,11.423,10.950,14.189,13.862,11.756,11.920,10.943,11.062,10.910,
13.717,13.709,11.555,11.423,10.950,14.238,13.968,12.137,11.505,11.083,11.227,10.796,
13.717,13.709,11.555,11.423,10.950,14.515,14.460,11.478,11.889,11.290,11.170,10.894,
13.717,13.709,11.555,11.423,10.950,13.934,14.301,11.383,11.647,11.077,11.166,10.904,
13.717,13.709,11.555,11.423,10.950,14.517,14.162,11.625,11.317,11.822,11.364,10.825,
13.717,13.709,11.555,11.423,10.950,14.288,14.237,11.374,11.602,11.368,11.069,10.828,
13.717,13.709,11.555,11.423,10.950,14.412,14.071,12.023,11.721,11.715,11.063,10.670,
13.717,13.709,11.555,11.423,10.950,14.177,14.273,11.656,11.829,11.062,10.998,10.972,
13.717,13.709,11.555,11.423,10.950,14.424,13.771,11.656,11.444,11.164,11.183,10.799,
13.717,13.709,11.555,11.423,10.950,14.152,14.213,11.676,11.491,10.970,11.125,10.876,
13.717,13.709,11.555,11.423,10.950,14.843,14.077,11.343,11.693,10.822,11.084,10.902,
13.717,13.709,11.555,11.423,10.950,14.383,14.322,11.858,12.119,11.468,11.452,10.764,
13.717,13.709,11.555,11.423,10.950,14.267,14.758,11.641,11.471,10.902,11.152,10.838,
13.717,13.709,11.555,11.423,10.950,14.067,13.658,11.336,12.227,11.172,11.285,10.741,
13.717,13.709,11.555,11.423,10.950,14.160,14.244,11.382,11.696,11.259,11.288,10.823,
