LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.534,0.537,0.649,0.657,0.682,0.547,0.555,0.658,0.671,0.693,0.684,0.695,
0.534,0.537,0.649,0.657,0.682,0.550,0.556,0.660,0.667,0.691,0.688,0.695,
0.534,0.537,0.649,0.657,0.682,0.556,0.545,0.659,0.664,0.693,0.686,0.699,
0.534,0.537,0.649,0.657,0.682,0.551,0.561,0.658,0.662,0.685,0.685,0.697,
0.534,0.537,0.649,0.657,0.682,0.548,0.553,0.660,0.671,0.685,0.689,0.701,
0.534,0.537,0.649,0.657,0.682,0.545,0.559,0.661,0.666,0.684,0.688,0.699,
0.534,0.537,0.649,0.657,0.682,0.554,0.556,0.657,0.668,0.686,0.688,0.690,
0.534,0.537,0.649,0.657,0.682,0.553,0.553,0.662,0.666,0.686,0.685,0.700,
0.534,0.537,0.649,0.657,0.682,0.548,0.556,0.666,0.664,0.688,0.683,0.700,
0.534,0.537,0.649,0.657,0.682,0.553,0.555,0.652,0.665,0.681,0.688,0.691,
0.534,0.537,0.649,0.657,0.682,0.550,0.551,0.664,0.661,0.688,0.683,0.694,
0.534,0.537,0.649,0.657,0.682,0.551,0.548,0.662,0.667,0.687,0.682,0.694,
0.534,0.537,0.649,0.657,0.682,0.550,0.549,0.657,0.667,0.687,0.685,0.701,
0.534,0.537,0.649,0.657,0.682,0.552,0.554,0.653,0.663,0.685,0.682,0.699,
0.534,0.537,0.649,0.657,0.682,0.548,0.550,0.660,0.670,0.693,0.685,0.700,
0.534,0.537,0.649,0.657,0.682,0.549,0.550,0.661,0.666,0.694,0.687,0.689,
0.534,0.537,0.649,0.657,0.682,0.549,0.553,0.657,0.665,0.682,0.685,0.696,
0.534,0.537,0.649,0.657,0.682,0.549,0.551,0.664,0.663,0.688,0.682,0.702,
0.534,0.537,0.649,0.657,0.682,0.555,0.558,0.656,0.663,0.674,0.680,0.700,
0.534,0.537,0.649,0.657,0.682,0.549,0.556,0.658,0.666,0.678,0.673,0.700,
0.534,0.537,0.649,0.657,0.682,0.551,0.560,0.655,0.665,0.681,0.687,0.695,
0.534,0.537,0.649,0.657,0.682,0.551,0.556,0.657,0.663,0.680,0.676,0.698,
0.534,0.537,0.649,0.657,0.682,0.554,0.557,0.661,0.665,0.695,0.690,0.695,
0.534,0.537,0.649,0.657,0.682,0.550,0.560,0.663,0.664,0.686,0.683,0.699,
0.534,0.537,0.649,0.657,0.682,0.554,0.550,0.659,0.671,0.691,0.684,0.704,
0.534,0.537,0.649,0.657,0.682,0.541,0.554,0.663,0.663,0.687,0.688,0.695,
0.534,0.537,0.649,0.657,0.682,0.549,0.555,0.662,0.658,0.686,0.680,0.690,
0.534,0.537,0.649,0.657,0.682,0.549,0.549,0.665,0.666,0.692,0.684,0.695,
0.534,0.537,0.649,0.657,0.682,0.552,0.561,0.665,0.657,0.688,0.684,0.697,
0.534,0.537,0.649,0.657,0.682,0.553,0.555,0.666,0.666,0.687,0.686,0.696,
