LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.609,0.606,0.513,0.507,0.484,0.616,0.608,0.515,0.504,0.480,0.493,0.475,
0.609,0.606,0.513,0.507,0.484,0.609,0.611,0.508,0.507,0.489,0.487,0.480,
0.609,0.606,0.513,0.507,0.484,0.610,0.611,0.512,0.510,0.478,0.489,0.471,
0.609,0.606,0.513,0.507,0.484,0.616,0.603,0.513,0.507,0.484,0.487,0.476,
0.609,0.606,0.513,0.507,0.484,0.617,0.610,0.508,0.505,0.488,0.482,0.472,
0.609,0.606,0.513,0.507,0.484,0.630,0.610,0.510,0.508,0.489,0.484,0.476,
0.609,0.606,0.513,0.507,0.484,0.617,0.606,0.511,0.506,0.488,0.483,0.483,
0.609,0.606,0.513,0.507,0.484,0.616,0.606,0.505,0.512,0.495,0.487,0.476,
0.609,0.606,0.513,0.507,0.484,0.611,0.610,0.505,0.509,0.482,0.489,0.471,
0.609,0.606,0.513,0.507,0.484,0.610,0.612,0.520,0.507,0.497,0.482,0.482,
0.609,0.606,0.513,0.507,0.484,0.611,0.624,0.506,0.511,0.488,0.491,0.479,
0.609,0.606,0.513,0.507,0.484,0.614,0.614,0.515,0.505,0.486,0.493,0.478,
0.609,0.606,0.513,0.507,0.484,0.611,0.621,0.517,0.506,0.490,0.487,0.474,
0.609,0.606,0.513,0.507,0.484,0.608,0.607,0.518,0.506,0.488,0.492,0.472,
0.609,0.606,0.513,0.507,0.484,0.614,0.609,0.510,0.502,0.480,0.487,0.473,
0.609,0.606,0.513,0.507,0.484,0.614,0.607,0.512,0.513,0.479,0.485,0.490,
0.609,0.606,0.513,0.507,0.484,0.616,0.609,0.519,0.505,0.486,0.489,0.477,
0.609,0.606,0.513,0.507,0.484,0.620,0.618,0.505,0.510,0.486,0.490,0.471,
0.609,0.606,0.513,0.507,0.484,0.607,0.614,0.510,0.511,0.496,0.491,0.477,
0.609,0.606,0.513,0.507,0.484,0.621,0.610,0.511,0.503,0.502,0.498,0.473,
0.609,0.606,0.513,0.507,0.484,0.616,0.612,0.511,0.505,0.494,0.487,0.479,
0.609,0.606,0.513,0.507,0.484,0.618,0.610,0.517,0.510,0.500,0.497,0.473,
0.609,0.606,0.513,0.507,0.484,0.614,0.614,0.509,0.510,0.480,0.482,0.475,
0.609,0.606,0.513,0.507,0.484,0.619,0.602,0.508,0.506,0.488,0.488,0.474,
0.609,0.606,0.513,0.507,0.484,0.612,0.613,0.513,0.501,0.479,0.488,0.473,
0.609,0.606,0.513,0.507,0.484,0.630,0.609,0.505,0.511,0.482,0.487,0.477,
0.609,0.606,0.513,0.507,0.484,0.619,0.616,0.513,0.520,0.494,0.495,0.481,
0.609,0.606,0.513,0.507,0.484,0.615,0.628,0.508,0.503,0.481,0.489,0.474,
0.609,0.606,0.513,0.507,0.484,0.611,0.599,0.502,0.523,0.488,0.489,0.474,
0.609,0.606,0.513,0.507,0.484,0.612,0.613,0.503,0.507,0.489,0.491,0.471,
