LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
164.510,164.009,142.710,141.063,135.896,162.255,160.771,141.038,138.143,133.479,135.503,133.179,
164.510,164.009,142.710,141.063,135.896,161.608,160.614,140.494,139.171,134.057,134.523,133.053,
164.510,164.009,142.710,141.063,135.896,160.620,162.594,140.764,139.678,133.446,135.140,132.282,
164.510,164.009,142.710,141.063,135.896,161.559,159.650,140.881,140.069,135.280,135.181,132.744,
164.510,164.009,142.710,141.063,135.896,161.981,161.081,140.482,138.301,135.367,134.436,131.802,
164.510,164.009,142.710,141.063,135.896,162.615,160.091,140.268,139.353,135.414,134.608,132.320,
164.510,164.009,142.710,141.063,135.896,161.028,160.624,141.133,138.912,135.052,134.561,134.298,
164.510,164.009,142.710,141.063,135.896,161.133,161.073,140.167,139.359,135.129,135.353,131.957,
164.510,164.009,142.710,141.063,135.896,162.119,160.650,139.353,139.697,134.625,135.635,132.032,
164.510,164.009,142.710,141.063,135.896,161.211,160.849,142.083,139.487,136.170,134.677,134.042,
164.510,164.009,142.710,141.063,135.896,161.666,161.439,139.662,140.280,134.601,135.766,133.359,
164.510,164.009,142.710,141.063,135.896,161.509,162.012,140.081,139.126,134.942,135.838,133.291,
164.510,164.009,142.710,141.063,135.896,161.720,161.790,141.150,139.082,134.832,135.194,131.895,
164.510,164.009,142.710,141.063,135.896,161.352,160.891,141.953,139.837,135.260,136.011,132.136,
164.510,164.009,142.710,141.063,135.896,162.088,161.645,140.518,138.494,133.502,135.350,131.993,
164.510,164.009,142.710,141.063,135.896,161.784,161.628,140.431,139.319,133.392,134.819,134.502,
164.510,164.009,142.710,141.063,135.896,161.938,161.159,141.116,139.462,135.823,135.209,132.883,
164.510,164.009,142.710,141.063,135.896,161.895,161.488,139.788,139.822,134.560,135.996,131.684,
164.510,164.009,142.710,141.063,135.896,160.797,160.216,141.429,139.991,137.715,136.397,131.919,
164.510,164.009,142.710,141.063,135.896,161.902,160.585,141.002,139.278,136.874,137.914,132.038,
164.510,164.009,142.710,141.063,135.896,161.464,159.910,141.579,139.486,136.101,134.838,133.213,
164.510,164.009,142.710,141.063,135.896,161.515,160.588,141.164,139.900,136.370,137.135,132.374,
164.510,164.009,142.710,141.063,135.896,161.041,160.469,140.247,139.497,133.206,134.095,133.136,
164.510,164.009,142.710,141.063,135.896,161.623,159.876,139.863,139.791,135.159,135.719,132.223,
164.510,164.009,142.710,141.063,135.896,160.987,161.611,140.735,138.187,134.073,135.508,131.130,
164.510,164.009,142.710,141.063,135.896,163.358,160.905,140.008,139.971,134.887,134.643,133.044,
164.510,164.009,142.710,141.063,135.896,161.904,160.855,140.209,141.047,135.049,136.328,134.122,
164.510,164.009,142.710,141.063,135.896,161.930,161.804,139.546,139.208,133.775,135.482,133.027,
164.510,164.009,142.710,141.063,135.896,161.261,159.767,139.420,141.131,134.735,135.490,132.767,
164.510,164.009,142.710,141.063,135.896,161.130,160.778,139.301,139.209,134.852,135.150,132.826,
