LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.683,0.680,0.592,0.585,0.564,0.673,0.667,0.585,0.573,0.554,0.562,0.553,
0.683,0.680,0.592,0.585,0.564,0.671,0.666,0.583,0.577,0.556,0.558,0.552,
0.683,0.680,0.592,0.585,0.564,0.666,0.675,0.584,0.580,0.554,0.561,0.549,
0.683,0.680,0.592,0.585,0.564,0.670,0.662,0.585,0.581,0.561,0.561,0.551,
0.683,0.680,0.592,0.585,0.564,0.672,0.668,0.583,0.574,0.562,0.558,0.547,
0.683,0.680,0.592,0.585,0.564,0.675,0.664,0.582,0.578,0.562,0.558,0.549,
0.683,0.680,0.592,0.585,0.564,0.668,0.666,0.586,0.576,0.560,0.558,0.557,
0.683,0.680,0.592,0.585,0.564,0.669,0.668,0.582,0.578,0.561,0.562,0.547,
0.683,0.680,0.592,0.585,0.564,0.673,0.667,0.578,0.580,0.559,0.563,0.548,
0.683,0.680,0.592,0.585,0.564,0.669,0.667,0.589,0.579,0.565,0.559,0.556,
0.683,0.680,0.592,0.585,0.564,0.671,0.670,0.579,0.582,0.558,0.563,0.553,
0.683,0.680,0.592,0.585,0.564,0.670,0.672,0.581,0.577,0.560,0.564,0.553,
0.683,0.680,0.592,0.585,0.564,0.671,0.671,0.586,0.577,0.559,0.561,0.547,
0.683,0.680,0.592,0.585,0.564,0.669,0.668,0.589,0.580,0.561,0.564,0.548,
0.683,0.680,0.592,0.585,0.564,0.672,0.671,0.583,0.575,0.554,0.562,0.548,
0.683,0.680,0.592,0.585,0.564,0.671,0.671,0.583,0.578,0.553,0.559,0.558,
0.683,0.680,0.592,0.585,0.564,0.672,0.669,0.585,0.579,0.564,0.561,0.551,
0.683,0.680,0.592,0.585,0.564,0.672,0.670,0.580,0.580,0.558,0.564,0.546,
0.683,0.680,0.592,0.585,0.564,0.667,0.665,0.587,0.581,0.571,0.566,0.547,
0.683,0.680,0.592,0.585,0.564,0.672,0.666,0.585,0.578,0.568,0.572,0.548,
0.683,0.680,0.592,0.585,0.564,0.670,0.663,0.587,0.579,0.565,0.559,0.553,
0.683,0.680,0.592,0.585,0.564,0.670,0.666,0.586,0.580,0.566,0.569,0.549,
0.683,0.680,0.592,0.585,0.564,0.668,0.666,0.582,0.579,0.553,0.556,0.552,
0.683,0.680,0.592,0.585,0.564,0.671,0.663,0.580,0.580,0.561,0.563,0.549,
0.683,0.680,0.592,0.585,0.564,0.668,0.671,0.584,0.573,0.556,0.562,0.544,
0.683,0.680,0.592,0.585,0.564,0.678,0.668,0.581,0.581,0.560,0.559,0.552,
0.683,0.680,0.592,0.585,0.564,0.672,0.667,0.582,0.585,0.560,0.566,0.556,
0.683,0.680,0.592,0.585,0.564,0.672,0.671,0.579,0.578,0.555,0.562,0.552,
0.683,0.680,0.592,0.585,0.564,0.669,0.663,0.578,0.586,0.559,0.562,0.551,
0.683,0.680,0.592,0.585,0.564,0.669,0.667,0.578,0.578,0.559,0.561,0.551,
