LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
119.619,119.179,100.877,99.661,95.042,126.722,130.915,107.803,105.004,102.059,100.103,100.251,
119.619,119.179,100.877,99.661,95.042,127.257,131.126,106.868,103.358,105.833,99.349,100.729,
119.619,119.179,100.877,99.661,95.042,126.398,130.616,105.648,104.194,103.668,99.148,100.309,
119.619,119.179,100.877,99.661,95.042,133.717,127.897,105.176,105.436,102.196,101.401,99.070,
119.619,119.179,100.877,99.661,95.042,136.005,130.874,105.409,108.439,102.019,98.981,102.038,
119.619,119.179,100.877,99.661,95.042,126.647,131.454,107.407,102.994,103.316,99.577,101.002,
119.619,119.179,100.877,99.661,95.042,126.743,129.189,105.402,103.769,104.832,101.454,99.392,
119.619,119.179,100.877,99.661,95.042,126.979,128.552,107.516,104.127,101.944,98.990,101.838,
119.619,119.179,100.877,99.661,95.042,126.196,126.641,106.325,103.248,103.293,99.745,100.194,
119.619,119.179,100.877,99.661,95.042,127.633,128.188,107.227,101.916,103.142,101.133,99.605,
119.619,119.179,100.877,99.661,95.042,127.261,131.735,108.241,103.848,103.497,98.144,98.566,
119.619,119.179,100.877,99.661,95.042,127.065,128.994,105.265,106.560,102.247,98.439,100.155,
119.619,119.179,100.877,99.661,95.042,131.695,128.582,104.019,108.607,105.648,100.143,100.186,
119.619,119.179,100.877,99.661,95.042,127.563,128.751,107.581,105.250,103.415,98.592,100.185,
119.619,119.179,100.877,99.661,95.042,126.058,130.140,107.471,103.423,101.917,98.761,99.886,
119.619,119.179,100.877,99.661,95.042,127.211,129.339,106.579,104.298,102.280,98.773,100.538,
119.619,119.179,100.877,99.661,95.042,127.305,128.429,107.451,102.790,102.931,99.884,101.952,
119.619,119.179,100.877,99.661,95.042,127.103,129.150,105.102,103.927,105.144,104.794,99.513,
119.619,119.179,100.877,99.661,95.042,126.676,129.775,104.488,105.306,102.893,99.793,102.826,
119.619,119.179,100.877,99.661,95.042,126.610,129.904,107.393,104.926,102.466,99.295,98.275,
119.619,119.179,100.877,99.661,95.042,127.226,127.861,106.519,104.849,103.293,100.274,99.616,
119.619,119.179,100.877,99.661,95.042,126.369,127.660,106.068,104.439,105.147,100.539,99.184,
119.619,119.179,100.877,99.661,95.042,126.748,131.408,107.207,102.980,104.856,100.370,99.860,
119.619,119.179,100.877,99.661,95.042,126.792,129.324,105.845,102.210,106.654,101.497,99.656,
119.619,119.179,100.877,99.661,95.042,128.447,128.444,105.229,103.559,103.304,100.472,101.325,
119.619,119.179,100.877,99.661,95.042,126.444,131.860,106.357,104.385,103.758,100.594,100.273,
119.619,119.179,100.877,99.661,95.042,129.662,127.156,108.497,103.213,104.326,99.817,100.408,
119.619,119.179,100.877,99.661,95.042,127.319,129.774,105.858,104.933,101.516,100.035,100.229,
119.619,119.179,100.877,99.661,95.042,127.004,125.578,105.411,103.024,103.391,101.029,100.156,
119.619,119.179,100.877,99.661,95.042,126.103,130.911,106.967,104.480,102.853,100.843,101.643,
