LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
13.717,13.709,11.555,11.423,10.950,14.566,15.261,12.749,12.281,11.638,11.360,11.565,
13.717,13.709,11.555,11.423,10.950,14.908,15.287,12.595,11.631,12.460,11.435,11.726,
13.717,13.709,11.555,11.423,10.950,14.539,15.564,12.205,12.068,11.949,11.331,11.527,
13.717,13.709,11.555,11.423,10.950,14.390,15.029,11.878,12.481,12.039,11.623,11.621,
13.717,13.709,11.555,11.423,10.950,14.576,15.524,12.169,12.923,11.631,11.316,11.544,
13.717,13.709,11.555,11.423,10.950,14.720,15.553,12.393,11.630,11.956,11.511,11.767,
13.717,13.709,11.555,11.423,10.950,14.516,15.054,12.103,11.908,12.224,11.343,11.269,
13.717,13.709,11.555,11.423,10.950,14.710,15.263,12.616,11.957,11.642,11.362,11.936,
13.717,13.709,11.555,11.423,10.950,14.454,14.908,12.331,12.023,11.790,11.535,11.437,
13.717,13.709,11.555,11.423,10.950,14.958,15.044,12.544,11.631,11.732,11.801,11.501,
13.717,13.709,11.555,11.423,10.950,14.247,15.794,12.609,11.886,11.958,11.283,11.428,
13.717,13.709,11.555,11.423,10.950,14.537,15.155,12.209,12.165,11.746,11.307,11.535,
13.717,13.709,11.555,11.423,10.950,14.737,15.144,11.774,13.086,12.417,11.552,11.378,
13.717,13.709,11.555,11.423,10.950,14.426,15.080,12.777,12.392,11.983,11.225,11.430,
13.717,13.709,11.555,11.423,10.950,14.648,15.260,12.589,11.926,11.708,11.362,11.287,
13.717,13.709,11.555,11.423,10.950,14.413,15.214,12.396,12.321,11.728,11.387,11.611,
13.717,13.709,11.555,11.423,10.950,14.327,15.160,12.723,11.848,12.037,11.611,11.995,
13.717,13.709,11.555,11.423,10.950,14.506,14.469,12.253,11.706,12.009,12.362,11.327,
13.717,13.709,11.555,11.423,10.950,14.312,15.051,11.932,12.170,12.039,11.492,11.845,
13.717,13.709,11.555,11.423,10.950,14.380,15.280,12.597,12.154,11.812,11.448,11.196,
13.717,13.709,11.555,11.423,10.950,14.459,15.124,12.237,12.268,11.992,11.560,11.597,
13.717,13.709,11.555,11.423,10.950,14.494,15.104,12.372,12.106,12.391,11.434,11.412,
13.717,13.709,11.555,11.423,10.950,14.509,15.429,12.506,11.920,12.249,11.690,11.565,
13.717,13.709,11.555,11.423,10.950,14.587,15.106,12.086,11.627,12.705,11.766,11.422,
13.717,13.709,11.555,11.423,10.950,14.120,15.172,12.122,11.996,12.006,11.656,11.501,
13.717,13.709,11.555,11.423,10.950,14.443,15.363,12.387,12.160,11.950,11.684,11.596,
13.717,13.709,11.555,11.423,10.950,14.181,14.922,12.880,11.652,12.226,11.675,11.468,
13.717,13.709,11.555,11.423,10.950,14.308,15.523,12.169,12.131,11.732,11.582,11.632,
13.717,13.709,11.555,11.423,10.950,14.674,14.853,12.016,11.909,11.818,11.886,11.628,
13.717,13.709,11.555,11.423,10.950,14.374,15.303,12.494,12.030,11.713,11.577,11.701,
