LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.534,0.537,0.649,0.657,0.682,0.510,0.503,0.637,0.652,0.658,0.664,0.665,
0.534,0.537,0.649,0.657,0.682,0.515,0.500,0.642,0.645,0.651,0.670,0.662,
0.534,0.537,0.649,0.657,0.682,0.516,0.509,0.638,0.653,0.653,0.670,0.664,
0.534,0.537,0.649,0.657,0.682,0.432,0.521,0.629,0.657,0.668,0.658,0.674,
0.534,0.537,0.649,0.657,0.682,0.413,0.506,0.641,0.645,0.657,0.672,0.656,
0.534,0.537,0.649,0.657,0.682,0.516,0.507,0.629,0.648,0.660,0.673,0.658,
0.534,0.537,0.649,0.657,0.682,0.511,0.510,0.637,0.651,0.652,0.654,0.668,
0.534,0.537,0.649,0.657,0.682,0.513,0.523,0.637,0.649,0.660,0.673,0.656,
0.534,0.537,0.649,0.657,0.682,0.512,0.529,0.638,0.660,0.651,0.673,0.667,
0.534,0.537,0.649,0.657,0.682,0.510,0.518,0.638,0.659,0.652,0.670,0.668,
0.534,0.537,0.649,0.657,0.682,0.497,0.513,0.630,0.649,0.656,0.680,0.675,
0.534,0.537,0.649,0.657,0.682,0.504,0.518,0.643,0.628,0.660,0.675,0.662,
0.534,0.537,0.649,0.657,0.682,0.475,0.521,0.638,0.645,0.652,0.667,0.664,
0.534,0.537,0.649,0.657,0.682,0.495,0.515,0.641,0.653,0.659,0.674,0.665,
0.534,0.537,0.649,0.657,0.682,0.518,0.508,0.636,0.655,0.663,0.676,0.666,
0.534,0.537,0.649,0.657,0.682,0.499,0.512,0.635,0.661,0.659,0.677,0.663,
0.534,0.537,0.649,0.657,0.682,0.497,0.523,0.640,0.657,0.663,0.674,0.656,
0.534,0.537,0.649,0.657,0.682,0.505,0.488,0.645,0.640,0.642,0.641,0.668,
0.534,0.537,0.649,0.657,0.682,0.505,0.504,0.642,0.645,0.664,0.672,0.653,
0.534,0.537,0.649,0.657,0.682,0.509,0.513,0.635,0.649,0.660,0.676,0.675,
0.534,0.537,0.649,0.657,0.682,0.501,0.522,0.631,0.652,0.661,0.672,0.668,
0.534,0.537,0.649,0.657,0.682,0.513,0.525,0.640,0.651,0.657,0.663,0.670,
0.534,0.537,0.649,0.657,0.682,0.505,0.501,0.634,0.659,0.653,0.666,0.668,
0.534,0.537,0.649,0.657,0.682,0.511,0.512,0.634,0.656,0.653,0.662,0.668,
0.534,0.537,0.649,0.657,0.682,0.483,0.522,0.638,0.655,0.659,0.672,0.660,
0.534,0.537,0.649,0.657,0.682,0.512,0.493,0.640,0.655,0.653,0.662,0.665,
0.534,0.537,0.649,0.657,0.682,0.471,0.526,0.636,0.649,0.660,0.677,0.664,
0.534,0.537,0.649,0.657,0.682,0.497,0.523,0.634,0.647,0.667,0.672,0.667,
0.534,0.537,0.649,0.657,0.682,0.512,0.533,0.635,0.657,0.653,0.666,0.666,
0.534,0.537,0.649,0.657,0.682,0.514,0.506,0.637,0.647,0.653,0.662,0.656,
