LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.609,0.606,0.513,0.507,0.484,0.645,0.666,0.549,0.534,0.519,0.509,0.510,
0.609,0.606,0.513,0.507,0.484,0.648,0.667,0.544,0.526,0.539,0.506,0.513,
0.609,0.606,0.513,0.507,0.484,0.643,0.665,0.538,0.530,0.527,0.504,0.510,
0.609,0.606,0.513,0.507,0.484,0.680,0.651,0.535,0.536,0.520,0.516,0.504,
0.609,0.606,0.513,0.507,0.484,0.692,0.666,0.536,0.552,0.519,0.504,0.519,
0.609,0.606,0.513,0.507,0.484,0.644,0.669,0.547,0.524,0.526,0.507,0.514,
0.609,0.606,0.513,0.507,0.484,0.645,0.657,0.536,0.528,0.533,0.516,0.506,
0.609,0.606,0.513,0.507,0.484,0.646,0.654,0.547,0.530,0.519,0.504,0.518,
0.609,0.606,0.513,0.507,0.484,0.642,0.644,0.541,0.525,0.526,0.508,0.510,
0.609,0.606,0.513,0.507,0.484,0.649,0.652,0.546,0.519,0.525,0.515,0.507,
0.609,0.606,0.513,0.507,0.484,0.648,0.670,0.551,0.528,0.527,0.499,0.502,
0.609,0.606,0.513,0.507,0.484,0.647,0.656,0.536,0.542,0.520,0.501,0.510,
0.609,0.606,0.513,0.507,0.484,0.670,0.654,0.529,0.553,0.538,0.510,0.510,
0.609,0.606,0.513,0.507,0.484,0.649,0.655,0.547,0.536,0.526,0.502,0.510,
0.609,0.606,0.513,0.507,0.484,0.641,0.662,0.547,0.526,0.519,0.503,0.508,
0.609,0.606,0.513,0.507,0.484,0.647,0.658,0.542,0.531,0.520,0.503,0.512,
0.609,0.606,0.513,0.507,0.484,0.648,0.653,0.547,0.523,0.524,0.508,0.519,
0.609,0.606,0.513,0.507,0.484,0.647,0.657,0.535,0.529,0.535,0.533,0.506,
0.609,0.606,0.513,0.507,0.484,0.645,0.660,0.532,0.536,0.524,0.508,0.523,
0.609,0.606,0.513,0.507,0.484,0.644,0.661,0.546,0.534,0.521,0.505,0.500,
0.609,0.606,0.513,0.507,0.484,0.647,0.651,0.542,0.534,0.526,0.510,0.507,
0.609,0.606,0.513,0.507,0.484,0.643,0.650,0.540,0.531,0.535,0.512,0.505,
0.609,0.606,0.513,0.507,0.484,0.645,0.669,0.546,0.524,0.534,0.511,0.508,
0.609,0.606,0.513,0.507,0.484,0.645,0.658,0.539,0.520,0.543,0.516,0.507,
0.609,0.606,0.513,0.507,0.484,0.654,0.654,0.535,0.527,0.526,0.511,0.516,
0.609,0.606,0.513,0.507,0.484,0.643,0.671,0.541,0.531,0.528,0.512,0.510,
0.609,0.606,0.513,0.507,0.484,0.660,0.647,0.552,0.525,0.531,0.508,0.511,
0.609,0.606,0.513,0.507,0.484,0.648,0.660,0.539,0.534,0.517,0.509,0.510,
0.609,0.606,0.513,0.507,0.484,0.646,0.639,0.536,0.524,0.526,0.514,0.510,
0.609,0.606,0.513,0.507,0.484,0.642,0.666,0.544,0.532,0.523,0.513,0.517,
