LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
164.510,164.009,142.710,141.063,135.896,168.800,169.972,145.294,142.158,140.998,139.684,139.535,
164.510,164.009,142.710,141.063,135.896,167.834,170.359,144.228,143.636,142.392,138.364,140.102,
164.510,164.009,142.710,141.063,135.896,167.753,168.823,145.033,142.002,141.958,138.511,139.697,
164.510,164.009,142.710,141.063,135.896,181.602,166.816,146.843,141.091,138.869,140.975,137.524,
164.510,164.009,142.710,141.063,135.896,184.684,169.416,144.506,143.634,141.082,138.137,141.319,
164.510,164.009,142.710,141.063,135.896,167.677,169.206,146.833,143.026,140.443,137.849,141.044,
164.510,164.009,142.710,141.063,135.896,168.568,168.731,145.131,142.436,142.112,141.766,138.895,
164.510,164.009,142.710,141.063,135.896,168.196,166.541,145.186,142.896,140.578,137.800,141.374,
164.510,164.009,142.710,141.063,135.896,168.344,165.489,145.102,140.494,142.339,137.889,139.135,
164.510,164.009,142.710,141.063,135.896,168.735,167.378,145.114,140.765,142.144,138.532,138.871,
164.510,164.009,142.710,141.063,135.896,170.982,168.273,146.665,142.745,141.350,136.418,137.381,
164.510,164.009,142.710,141.063,135.896,169.760,167.317,143.958,146.910,140.465,137.374,140.122,
164.510,164.009,142.710,141.063,135.896,174.666,166.797,144.935,143.534,142.143,139.029,139.709,
164.510,164.009,142.710,141.063,135.896,171.269,167.773,144.363,141.897,140.766,137.680,139.417,
164.510,164.009,142.710,141.063,135.896,167.275,169.020,145.408,141.582,139.961,137.167,139.314,
164.510,164.009,142.710,141.063,135.896,170.564,168.352,145.532,140.297,140.698,136.913,139.921,
164.510,164.009,142.710,141.063,135.896,170.955,166.474,144.599,141.127,139.986,137.620,141.399,
164.510,164.009,142.710,141.063,135.896,169.518,172.522,143.598,144.523,144.148,144.387,138.842,
164.510,164.009,142.710,141.063,135.896,169.510,169.770,144.225,143.640,139.730,138.124,142.011,
164.510,164.009,142.710,141.063,135.896,168.971,168.181,145.538,142.779,140.461,137.136,137.344,
164.510,164.009,142.710,141.063,135.896,170.309,166.649,146.338,142.089,140.281,138.061,138.819,
164.510,164.009,142.710,141.063,135.896,168.276,166.158,144.552,142.471,141.159,139.842,138.408,
164.510,164.009,142.710,141.063,135.896,169.596,170.293,145.856,140.713,141.883,139.233,138.893,
164.510,164.009,142.710,141.063,135.896,168.533,168.411,145.907,141.467,141.912,140.054,138.857,
164.510,164.009,142.710,141.063,135.896,173.321,166.646,144.952,141.545,140.772,138.014,140.514,
164.510,164.009,142.710,141.063,135.896,168.431,171.576,144.581,141.496,141.985,140.145,139.585,
164.510,164.009,142.710,141.063,135.896,175.358,165.906,145.503,142.778,140.497,137.021,139.723,
164.510,164.009,142.710,141.063,135.896,170.927,166.495,145.869,143.300,139.090,138.115,138.987,
164.510,164.009,142.710,141.063,135.896,168.443,164.786,145.692,141.223,142.046,139.390,139.339,
164.510,164.009,142.710,141.063,135.896,168.091,169.412,145.152,143.107,141.911,140.071,141.312,
