LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.683,0.680,0.592,0.585,0.564,0.700,0.705,0.603,0.590,0.585,0.580,0.579,
0.683,0.680,0.592,0.585,0.564,0.696,0.707,0.598,0.596,0.591,0.574,0.581,
0.683,0.680,0.592,0.585,0.564,0.696,0.700,0.602,0.589,0.589,0.575,0.580,
0.683,0.680,0.592,0.585,0.564,0.753,0.692,0.609,0.585,0.576,0.585,0.571,
0.683,0.680,0.592,0.585,0.564,0.766,0.703,0.600,0.596,0.585,0.573,0.586,
0.683,0.680,0.592,0.585,0.564,0.696,0.702,0.609,0.593,0.583,0.572,0.585,
0.683,0.680,0.592,0.585,0.564,0.699,0.700,0.602,0.591,0.590,0.588,0.576,
0.683,0.680,0.592,0.585,0.564,0.698,0.691,0.602,0.593,0.583,0.572,0.587,
0.683,0.680,0.592,0.585,0.564,0.698,0.687,0.602,0.583,0.591,0.572,0.577,
0.683,0.680,0.592,0.585,0.564,0.700,0.694,0.602,0.584,0.590,0.575,0.576,
0.683,0.680,0.592,0.585,0.564,0.709,0.698,0.609,0.592,0.586,0.566,0.570,
0.683,0.680,0.592,0.585,0.564,0.704,0.694,0.597,0.610,0.583,0.570,0.581,
0.683,0.680,0.592,0.585,0.564,0.725,0.692,0.601,0.596,0.590,0.577,0.580,
0.683,0.680,0.592,0.585,0.564,0.711,0.696,0.599,0.589,0.584,0.571,0.578,
0.683,0.680,0.592,0.585,0.564,0.694,0.701,0.603,0.587,0.581,0.569,0.578,
0.683,0.680,0.592,0.585,0.564,0.708,0.698,0.604,0.582,0.584,0.568,0.581,
0.683,0.680,0.592,0.585,0.564,0.709,0.691,0.600,0.586,0.581,0.571,0.587,
0.683,0.680,0.592,0.585,0.564,0.703,0.716,0.596,0.600,0.598,0.599,0.576,
0.683,0.680,0.592,0.585,0.564,0.703,0.704,0.598,0.596,0.580,0.573,0.589,
0.683,0.680,0.592,0.585,0.564,0.701,0.698,0.604,0.592,0.583,0.569,0.570,
0.683,0.680,0.592,0.585,0.564,0.707,0.691,0.607,0.590,0.582,0.573,0.576,
0.683,0.680,0.592,0.585,0.564,0.698,0.689,0.600,0.591,0.586,0.580,0.574,
0.683,0.680,0.592,0.585,0.564,0.704,0.707,0.605,0.584,0.589,0.578,0.576,
0.683,0.680,0.592,0.585,0.564,0.699,0.699,0.605,0.587,0.589,0.581,0.576,
0.683,0.680,0.592,0.585,0.564,0.719,0.691,0.601,0.587,0.584,0.573,0.583,
0.683,0.680,0.592,0.585,0.564,0.699,0.712,0.600,0.587,0.589,0.581,0.579,
0.683,0.680,0.592,0.585,0.564,0.728,0.688,0.604,0.592,0.583,0.568,0.580,
0.683,0.680,0.592,0.585,0.564,0.709,0.691,0.605,0.595,0.577,0.573,0.577,
0.683,0.680,0.592,0.585,0.564,0.699,0.684,0.604,0.586,0.589,0.578,0.578,
0.683,0.680,0.592,0.585,0.564,0.697,0.703,0.602,0.594,0.589,0.581,0.586,
