Method,MAE (mean),MAE (std),MAE (min),RAE (mean),RAE (std),RAE (min),RMSE (mean),RMSE (std),RMSE (min),RRSE (mean),RRSE (std),RRSE (min),MAPE (mean),MAPE (std),MAPE (min),R2 (mean),R2 (std),R2 (min)
HA,442.227,0.000,442.227,2.068,0.000,2.068,485.290,0.000,485.290,1.569,0.000,1.569,46.242,0.000,46.242,0.000,0.000,0.000
ARIMA,167.224,0.000,167.224,0.782,0.000,0.782,239.203,0.000,239.203,0.773,0.000,0.773,15.981,0.000,15.981,0.402,0.000,0.402
SVR L,186.747,0.000,186.747,0.873,0.000,0.873,252.176,0.000,252.176,0.815,0.000,0.815,18.653,0.000,18.653,0.336,0.000,0.336
SVR L+W,185.325,0.000,185.325,0.867,0.000,0.867,251.579,0.000,251.579,0.813,0.000,0.813,18.464,0.000,18.464,0.339,0.000,0.339
SVR L+W+E,182.472,0.000,182.472,0.853,0.000,0.853,246.551,0.000,246.551,0.797,0.000,0.797,18.358,0.000,18.358,0.365,0.000,0.365
SVR L+W+E+LF,183.885,0.000,183.885,0.860,0.000,0.860,248.136,0.000,248.136,0.802,0.000,0.802,18.452,0.000,18.452,0.357,0.000,0.357
SVR L+W+E+LF+EL,176.968,0.000,176.968,0.828,0.000,0.828,244.401,0.000,244.401,0.790,0.000,0.790,17.503,0.000,17.503,0.376,0.000,0.376
GP L,204.501,0.000,204.501,0.956,0.000,0.956,264.610,0.000,264.610,0.855,0.000,0.855,20.628,0.000,20.628,0.268,0.000,0.268
GP L+W,204.232,0.000,204.232,0.955,0.000,0.955,264.822,0.000,264.822,0.856,0.000,0.856,20.618,0.000,20.618,0.267,0.000,0.267
GP L+W+E,191.519,0.000,191.519,0.896,0.000,0.896,255.226,0.000,255.226,0.825,0.000,0.825,19.469,0.000,19.469,0.319,0.000,0.319
GP L+W+E+LF,190.040,0.000,190.040,0.889,0.000,0.889,253.915,0.000,253.915,0.821,0.000,0.821,19.300,0.000,19.300,0.326,0.000,0.326
GP L+W+E+LF+EL,184.364,0.000,184.364,0.862,0.000,0.862,250.320,0.000,250.320,0.809,0.000,0.809,18.611,0.000,18.611,0.345,0.000,0.345
