HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
442.227,167.224,186.747,185.325,182.472,183.885,176.968,204.501,204.232,191.519,190.040,184.364,
