HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
46.242,15.981,18.653,18.464,18.358,18.452,17.503,20.628,20.618,19.469,19.300,18.611,
