HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
0.000,0.402,0.336,0.339,0.365,0.357,0.376,0.268,0.267,0.319,0.326,0.345,
