HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
2.068,0.782,0.873,0.867,0.853,0.860,0.828,0.956,0.955,0.896,0.889,0.862,
