HA,ARIMA,SVR L,SVR L+W,SVR L+W+E,SVR L+W+E+LF,SVR L+W+E+LF+EL,GP L,GP L+W,GP L+W+E,GP L+W+E+LF,GP L+W+E+LF+EL
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
1.569,0.773,0.815,0.813,0.797,0.802,0.790,0.855,0.856,0.825,0.821,0.809,
