LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
198.063,195.836,189.192,190.856,182.309,181.879,182.494,170.555,177.176,163.807,161.875,153.491,
198.063,195.836,189.192,190.856,182.309,187.346,181.812,171.397,175.757,168.761,156.793,153.821,
198.063,195.836,189.192,190.856,182.309,178.343,185.032,172.040,171.558,168.861,160.127,154.204,
198.063,195.836,189.192,190.856,182.309,182.439,181.602,173.551,174.251,168.981,151.373,150.810,
198.063,195.836,189.192,190.856,182.309,184.362,179.977,170.323,178.194,162.581,152.576,157.775,
198.063,195.836,189.192,190.856,182.309,185.843,182.164,176.928,173.765,165.602,155.708,161.354,
198.063,195.836,189.192,190.856,182.309,185.825,179.503,172.891,179.849,168.307,165.046,161.487,
198.063,195.836,189.192,190.856,182.309,182.993,185.396,174.154,168.571,165.461,164.785,155.336,
198.063,195.836,189.192,190.856,182.309,178.945,177.071,174.962,173.360,169.493,156.057,162.825,
198.063,195.836,189.192,190.856,182.309,184.589,180.060,174.542,180.392,168.221,162.595,157.211,
198.063,195.836,189.192,190.856,182.309,184.274,180.095,175.036,171.087,169.181,157.085,159.457,
198.063,195.836,189.192,190.856,182.309,179.161,186.692,169.102,175.786,167.821,158.408,159.552,
198.063,195.836,189.192,190.856,182.309,183.847,179.567,171.020,175.409,166.774,153.873,156.155,
198.063,195.836,189.192,190.856,182.309,177.188,184.503,173.687,171.429,170.246,161.849,163.075,
198.063,195.836,189.192,190.856,182.309,179.251,178.167,173.437,180.552,171.004,159.333,152.884,
198.063,195.836,189.192,190.856,182.309,184.503,183.069,176.701,174.898,164.830,161.231,157.416,
198.063,195.836,189.192,190.856,182.309,184.152,183.090,175.897,166.006,168.829,155.652,154.365,
198.063,195.836,189.192,190.856,182.309,184.225,180.427,177.652,175.191,171.905,158.507,153.714,
198.063,195.836,189.192,190.856,182.309,180.678,180.676,176.061,172.896,168.949,161.290,153.113,
198.063,195.836,189.192,190.856,182.309,187.623,179.291,174.880,177.915,169.095,163.069,154.291,
198.063,195.836,189.192,190.856,182.309,182.703,184.460,172.477,179.805,170.788,159.581,156.280,
198.063,195.836,189.192,190.856,182.309,186.956,178.920,174.074,177.510,171.752,159.676,156.590,
198.063,195.836,189.192,190.856,182.309,181.651,183.436,166.989,174.065,170.992,159.714,159.372,
198.063,195.836,189.192,190.856,182.309,180.650,180.641,174.867,172.827,168.061,160.210,158.751,
198.063,195.836,189.192,190.856,182.309,184.971,180.514,171.760,176.527,168.032,155.658,150.568,
198.063,195.836,189.192,190.856,182.309,181.428,185.044,172.668,173.894,169.497,162.490,157.907,
198.063,195.836,189.192,190.856,182.309,185.363,181.519,173.167,173.091,164.740,162.780,155.164,
198.063,195.836,189.192,190.856,182.309,184.446,181.680,176.509,180.338,171.761,159.053,153.621,
198.063,195.836,189.192,190.856,182.309,182.851,178.635,174.423,175.791,167.048,157.163,161.015,
198.063,195.836,189.192,190.856,182.309,184.249,185.371,171.679,175.824,168.270,165.373,158.843,
