LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
19.963,19.720,19.145,19.224,18.116,17.927,18.027,17.000,17.657,16.036,15.917,14.857,
19.963,19.720,19.145,19.224,18.116,18.645,17.917,17.119,17.440,16.568,15.324,14.896,
19.963,19.720,19.145,19.224,18.116,17.516,18.372,17.194,17.003,16.647,15.559,14.844,
19.963,19.720,19.145,19.224,18.116,18.010,17.957,17.317,17.241,16.687,14.587,14.471,
19.963,19.720,19.145,19.224,18.116,18.261,17.704,16.919,17.822,15.864,14.697,15.255,
19.963,19.720,19.145,19.224,18.116,18.477,17.986,17.784,17.300,16.166,15.120,15.815,
19.963,19.720,19.145,19.224,18.116,18.429,17.686,17.269,17.993,16.601,16.244,15.712,
19.963,19.720,19.145,19.224,18.116,18.082,18.445,17.450,16.613,16.201,16.256,15.003,
19.963,19.720,19.145,19.224,18.116,17.572,17.365,17.470,17.251,16.706,15.215,15.849,
19.963,19.720,19.145,19.224,18.116,18.315,17.737,17.442,18.061,16.606,16.039,15.347,
19.963,19.720,19.145,19.224,18.116,18.270,17.746,17.533,16.912,16.677,15.291,15.584,
19.963,19.720,19.145,19.224,18.116,17.644,18.602,16.874,17.455,16.456,15.514,15.548,
19.963,19.720,19.145,19.224,18.116,18.222,17.664,17.026,17.405,16.336,14.865,15.138,
19.963,19.720,19.145,19.224,18.116,17.321,18.279,17.384,17.033,16.809,15.904,15.942,
19.963,19.720,19.145,19.224,18.116,17.624,17.546,17.288,18.151,16.927,15.622,14.772,
19.963,19.720,19.145,19.224,18.116,18.280,18.118,17.762,17.325,16.131,15.903,15.252,
19.963,19.720,19.145,19.224,18.116,18.255,18.136,17.633,16.299,16.601,15.014,14.953,
19.963,19.720,19.145,19.224,18.116,18.258,17.828,17.832,17.479,17.065,15.494,14.751,
19.963,19.720,19.145,19.224,18.116,17.755,17.764,17.662,17.107,16.663,15.768,14.768,
19.963,19.720,19.145,19.224,18.116,18.669,17.667,17.521,17.797,16.693,16.001,14.893,
19.963,19.720,19.145,19.224,18.116,18.078,18.293,17.240,17.942,16.876,15.624,15.232,
19.963,19.720,19.145,19.224,18.116,18.596,17.627,17.381,17.749,17.012,15.697,15.128,
19.963,19.720,19.145,19.224,18.116,17.890,18.155,16.551,17.295,16.834,15.588,15.427,
19.963,19.720,19.145,19.224,18.116,17.779,17.819,17.538,17.153,16.549,15.752,15.511,
19.963,19.720,19.145,19.224,18.116,18.375,17.816,17.098,17.589,16.577,14.917,14.444,
19.963,19.720,19.145,19.224,18.116,17.887,18.363,17.216,17.306,16.744,15.960,15.389,
19.963,19.720,19.145,19.224,18.116,18.374,17.971,17.340,17.240,16.188,16.029,15.058,
19.963,19.720,19.145,19.224,18.116,18.292,17.936,17.726,18.058,16.994,15.499,14.822,
19.963,19.720,19.145,19.224,18.116,18.103,17.517,17.438,17.460,16.395,15.266,15.549,
19.963,19.720,19.145,19.224,18.116,18.253,18.355,17.137,17.517,16.522,16.344,15.393,
