LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.279,0.285,0.323,0.306,0.333,0.347,0.341,0.392,0.356,0.405,0.417,0.426,
0.279,0.285,0.323,0.306,0.333,0.328,0.339,0.393,0.367,0.386,0.434,0.437,
0.279,0.285,0.323,0.306,0.333,0.356,0.333,0.387,0.378,0.382,0.419,0.434,
0.279,0.285,0.323,0.306,0.333,0.341,0.344,0.389,0.368,0.382,0.457,0.446,
0.279,0.285,0.323,0.306,0.333,0.337,0.355,0.393,0.357,0.407,0.433,0.420,
0.279,0.285,0.323,0.306,0.333,0.333,0.341,0.375,0.374,0.392,0.437,0.412,
0.279,0.285,0.323,0.306,0.333,0.334,0.355,0.393,0.353,0.379,0.409,0.406,
0.279,0.285,0.323,0.306,0.333,0.340,0.331,0.384,0.388,0.393,0.409,0.426,
0.279,0.285,0.323,0.306,0.333,0.353,0.357,0.384,0.370,0.377,0.434,0.406,
0.279,0.285,0.323,0.306,0.333,0.338,0.349,0.382,0.351,0.384,0.416,0.437,
0.279,0.285,0.323,0.306,0.333,0.334,0.349,0.379,0.380,0.375,0.440,0.422,
0.279,0.285,0.323,0.306,0.333,0.353,0.327,0.402,0.358,0.381,0.429,0.414,
0.279,0.285,0.323,0.306,0.333,0.342,0.351,0.395,0.360,0.389,0.430,0.426,
0.279,0.285,0.323,0.306,0.333,0.358,0.334,0.386,0.372,0.379,0.415,0.410,
0.279,0.285,0.323,0.306,0.333,0.351,0.357,0.388,0.349,0.372,0.419,0.429,
0.279,0.285,0.323,0.306,0.333,0.336,0.338,0.372,0.368,0.393,0.425,0.421,
0.279,0.285,0.323,0.306,0.333,0.335,0.339,0.377,0.394,0.379,0.428,0.440,
0.279,0.285,0.323,0.306,0.333,0.343,0.345,0.372,0.368,0.371,0.426,0.434,
0.279,0.285,0.323,0.306,0.333,0.348,0.347,0.378,0.375,0.382,0.420,0.439,
0.279,0.285,0.323,0.306,0.333,0.329,0.351,0.381,0.355,0.385,0.405,0.436,
0.279,0.285,0.323,0.306,0.333,0.342,0.332,0.390,0.354,0.378,0.432,0.433,
0.279,0.285,0.323,0.306,0.333,0.329,0.349,0.386,0.361,0.378,0.426,0.424,
0.279,0.285,0.323,0.306,0.333,0.348,0.339,0.407,0.374,0.379,0.418,0.412,
0.279,0.285,0.323,0.306,0.333,0.350,0.345,0.382,0.376,0.387,0.419,0.416,
0.279,0.285,0.323,0.306,0.333,0.338,0.347,0.393,0.361,0.389,0.433,0.438,
0.279,0.285,0.323,0.306,0.333,0.345,0.335,0.388,0.372,0.384,0.412,0.418,
0.279,0.285,0.323,0.306,0.333,0.337,0.343,0.387,0.381,0.394,0.408,0.426,
0.279,0.285,0.323,0.306,0.333,0.337,0.339,0.372,0.342,0.372,0.427,0.439,
0.279,0.285,0.323,0.306,0.333,0.344,0.350,0.382,0.362,0.391,0.428,0.396,
0.279,0.285,0.323,0.306,0.333,0.334,0.330,0.394,0.357,0.378,0.398,0.416,
