LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.926,0.916,0.885,0.893,0.853,0.851,0.853,0.798,0.829,0.766,0.757,0.718,
0.926,0.916,0.885,0.893,0.853,0.876,0.850,0.802,0.822,0.789,0.733,0.719,
0.926,0.916,0.885,0.893,0.853,0.834,0.865,0.805,0.802,0.790,0.749,0.721,
0.926,0.916,0.885,0.893,0.853,0.853,0.849,0.812,0.815,0.790,0.708,0.705,
0.926,0.916,0.885,0.893,0.853,0.862,0.842,0.797,0.833,0.760,0.714,0.738,
0.926,0.916,0.885,0.893,0.853,0.869,0.852,0.827,0.813,0.774,0.728,0.755,
0.926,0.916,0.885,0.893,0.853,0.869,0.840,0.809,0.841,0.787,0.772,0.755,
0.926,0.916,0.885,0.893,0.853,0.856,0.867,0.814,0.788,0.774,0.771,0.726,
0.926,0.916,0.885,0.893,0.853,0.837,0.828,0.818,0.811,0.793,0.730,0.762,
0.926,0.916,0.885,0.893,0.853,0.863,0.842,0.816,0.844,0.787,0.760,0.735,
0.926,0.916,0.885,0.893,0.853,0.862,0.842,0.819,0.800,0.791,0.735,0.746,
0.926,0.916,0.885,0.893,0.853,0.838,0.873,0.791,0.822,0.785,0.741,0.746,
0.926,0.916,0.885,0.893,0.853,0.860,0.840,0.800,0.820,0.780,0.720,0.730,
0.926,0.916,0.885,0.893,0.853,0.829,0.863,0.812,0.802,0.796,0.757,0.763,
0.926,0.916,0.885,0.893,0.853,0.838,0.833,0.811,0.844,0.800,0.745,0.715,
0.926,0.916,0.885,0.893,0.853,0.863,0.856,0.826,0.818,0.771,0.754,0.736,
0.926,0.916,0.885,0.893,0.853,0.861,0.856,0.823,0.776,0.790,0.728,0.722,
0.926,0.916,0.885,0.893,0.853,0.862,0.844,0.831,0.819,0.804,0.741,0.719,
0.926,0.916,0.885,0.893,0.853,0.845,0.845,0.823,0.809,0.790,0.754,0.716,
0.926,0.916,0.885,0.893,0.853,0.877,0.839,0.818,0.832,0.791,0.763,0.722,
0.926,0.916,0.885,0.893,0.853,0.854,0.863,0.807,0.841,0.799,0.746,0.731,
0.926,0.916,0.885,0.893,0.853,0.874,0.837,0.814,0.830,0.803,0.747,0.732,
0.926,0.916,0.885,0.893,0.853,0.850,0.858,0.781,0.814,0.800,0.747,0.745,
0.926,0.916,0.885,0.893,0.853,0.845,0.845,0.818,0.808,0.786,0.749,0.742,
0.926,0.916,0.885,0.893,0.853,0.865,0.844,0.803,0.826,0.786,0.728,0.704,
0.926,0.916,0.885,0.893,0.853,0.849,0.865,0.808,0.813,0.793,0.760,0.739,
0.926,0.916,0.885,0.893,0.853,0.867,0.849,0.810,0.810,0.770,0.761,0.726,
0.926,0.916,0.885,0.893,0.853,0.863,0.850,0.825,0.843,0.803,0.744,0.718,
0.926,0.916,0.885,0.893,0.853,0.855,0.835,0.816,0.822,0.781,0.735,0.753,
0.926,0.916,0.885,0.893,0.853,0.862,0.867,0.803,0.822,0.787,0.773,0.743,
