LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
262.625,261.562,254.560,257.803,252.645,250.030,251.088,241.128,248.210,238.659,236.110,234.297,
262.625,261.562,254.560,257.803,252.645,253.619,251.558,240.929,246.222,242.443,232.678,232.193,
262.625,261.562,254.560,257.803,252.645,248.246,252.582,242.221,244.071,243.130,235.739,232.642,
262.625,261.562,254.560,257.803,252.645,251.153,250.613,241.727,245.914,243.160,228.063,230.258,
262.625,261.562,254.560,257.803,252.645,251.965,248.537,240.960,248.129,238.223,232.994,235.602,
262.625,261.562,254.560,257.803,252.645,252.721,251.051,244.648,244.699,241.281,232.104,237.195,
262.625,261.562,254.560,257.803,252.645,252.458,248.533,241.091,248.843,243.716,237.784,238.388,
262.625,261.562,254.560,257.803,252.645,251.268,252.950,242.892,242.073,240.995,237.908,234.338,
262.625,261.562,254.560,257.803,252.645,248.755,248.158,242.705,245.635,244.196,232.787,238.363,
262.625,261.562,254.560,257.803,252.645,251.711,249.586,243.164,249.179,242.825,236.418,232.136,
262.625,261.562,254.560,257.803,252.645,252.419,249.550,243.840,243.638,244.648,231.489,235.157,
262.625,261.562,254.560,257.803,252.645,248.891,253.693,239.264,247.811,243.364,233.755,236.778,
262.625,261.562,254.560,257.803,252.645,250.960,249.307,240.686,247.403,241.897,233.542,234.462,
262.625,261.562,254.560,257.803,252.645,247.941,252.548,242.458,245.093,243.842,236.644,237.541,
262.625,261.562,254.560,257.803,252.645,249.268,247.982,242.081,249.698,245.155,235.843,233.737,
262.625,261.562,254.560,257.803,252.645,252.126,251.631,245.099,245.962,240.931,234.548,235.423,
262.625,261.562,254.560,257.803,252.645,252.270,251.553,244.260,240.768,243.834,233.870,231.483,
262.625,261.562,254.560,257.803,252.645,250.835,250.372,245.193,245.888,245.405,234.360,232.672,
262.625,261.562,254.560,257.803,252.645,249.738,249.963,243.991,244.655,243.136,235.582,231.648,
262.625,261.562,254.560,257.803,252.645,253.350,249.243,243.423,248.474,242.604,238.644,232.249,
262.625,261.562,254.560,257.803,252.645,251.003,252.878,241.692,248.555,243.929,233.128,232.954,
262.625,261.562,254.560,257.803,252.645,253.447,249.643,242.494,247.223,244.012,234.312,234.728,
262.625,261.562,254.560,257.803,252.645,249.779,251.541,238.141,244.808,243.721,235.989,237.175,
262.625,261.562,254.560,257.803,252.645,249.441,250.424,243.108,244.359,242.159,235.862,236.503,
262.625,261.562,254.560,257.803,252.645,251.798,250.007,241.077,247.343,241.756,232.961,231.877,
262.625,261.562,254.560,257.803,252.645,250.291,252.284,242.050,245.199,242.889,237.158,236.055,
262.625,261.562,254.560,257.803,252.645,251.952,250.824,242.113,243.358,240.743,237.952,234.286,
262.625,261.562,254.560,257.803,252.645,251.921,251.510,245.194,250.932,245.169,234.220,231.746,
262.625,261.562,254.560,257.803,252.645,250.584,249.371,243.195,247.078,241.357,233.871,240.328,
262.625,261.562,254.560,257.803,252.645,252.557,253.183,240.786,248.038,243.939,240.119,236.465,
