LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.849,0.845,0.823,0.833,0.817,0.808,0.812,0.779,0.802,0.771,0.763,0.757,
0.849,0.845,0.823,0.833,0.817,0.820,0.813,0.779,0.796,0.784,0.752,0.751,
0.849,0.845,0.823,0.833,0.817,0.802,0.816,0.783,0.789,0.786,0.762,0.752,
0.849,0.845,0.823,0.833,0.817,0.812,0.810,0.781,0.795,0.786,0.737,0.744,
0.849,0.845,0.823,0.833,0.817,0.814,0.803,0.779,0.802,0.770,0.753,0.762,
0.849,0.845,0.823,0.833,0.817,0.817,0.812,0.791,0.791,0.780,0.750,0.767,
0.849,0.845,0.823,0.833,0.817,0.816,0.803,0.779,0.804,0.788,0.769,0.771,
0.849,0.845,0.823,0.833,0.817,0.812,0.818,0.785,0.783,0.779,0.769,0.757,
0.849,0.845,0.823,0.833,0.817,0.804,0.802,0.785,0.794,0.789,0.752,0.771,
0.849,0.845,0.823,0.833,0.817,0.814,0.807,0.786,0.805,0.785,0.764,0.750,
0.849,0.845,0.823,0.833,0.817,0.816,0.807,0.788,0.788,0.791,0.748,0.760,
0.849,0.845,0.823,0.833,0.817,0.805,0.820,0.773,0.801,0.787,0.756,0.765,
0.849,0.845,0.823,0.833,0.817,0.811,0.806,0.778,0.800,0.782,0.755,0.758,
0.849,0.845,0.823,0.833,0.817,0.801,0.816,0.784,0.792,0.788,0.765,0.768,
0.849,0.845,0.823,0.833,0.817,0.806,0.802,0.783,0.807,0.792,0.762,0.756,
0.849,0.845,0.823,0.833,0.817,0.815,0.813,0.792,0.795,0.779,0.758,0.761,
0.849,0.845,0.823,0.833,0.817,0.815,0.813,0.790,0.778,0.788,0.756,0.748,
0.849,0.845,0.823,0.833,0.817,0.811,0.809,0.793,0.795,0.793,0.758,0.752,
0.849,0.845,0.823,0.833,0.817,0.807,0.808,0.789,0.791,0.786,0.762,0.749,
0.849,0.845,0.823,0.833,0.817,0.819,0.806,0.787,0.803,0.784,0.771,0.751,
0.849,0.845,0.823,0.833,0.817,0.811,0.817,0.781,0.803,0.789,0.754,0.753,
0.849,0.845,0.823,0.833,0.817,0.819,0.807,0.784,0.799,0.789,0.757,0.759,
0.849,0.845,0.823,0.833,0.817,0.807,0.813,0.770,0.791,0.788,0.763,0.767,
0.849,0.845,0.823,0.833,0.817,0.806,0.809,0.786,0.790,0.783,0.762,0.764,
0.849,0.845,0.823,0.833,0.817,0.814,0.808,0.779,0.800,0.781,0.753,0.750,
0.849,0.845,0.823,0.833,0.817,0.809,0.816,0.782,0.793,0.785,0.767,0.763,
0.849,0.845,0.823,0.833,0.817,0.814,0.811,0.783,0.787,0.778,0.769,0.757,
0.849,0.845,0.823,0.833,0.817,0.814,0.813,0.793,0.811,0.793,0.757,0.749,
0.849,0.845,0.823,0.833,0.817,0.810,0.806,0.786,0.799,0.780,0.756,0.777,
0.849,0.845,0.823,0.833,0.817,0.816,0.818,0.778,0.802,0.789,0.776,0.764,
