Method,MAE (mean),MAE (std),MAE (min),RAE (mean),RAE (std),RAE (min),RMSE (mean),RMSE (std),RMSE (min),RRSE (mean),RRSE (std),RRSE (min),MAPE (mean),MAPE (std),MAPE (min),R2 (mean),R2 (std),R2 (min)
LR L,198.063,0.000,198.063,0.926,0.000,0.926,262.625,0.000,262.625,0.849,0.000,0.849,19.963,0.000,19.963,0.279,0.000,0.279
LR L+W,195.836,0.000,195.836,0.916,0.000,0.916,261.562,0.000,261.562,0.845,0.000,0.845,19.720,0.000,19.720,0.285,0.000,0.285
LR L+W+E,189.192,0.000,189.192,0.885,0.000,0.885,254.560,0.000,254.560,0.823,0.000,0.823,19.145,0.000,19.145,0.323,0.000,0.323
LR L+W+E+LF,190.856,0.000,190.856,0.893,0.000,0.893,257.803,0.000,257.803,0.833,0.000,0.833,19.224,0.000,19.224,0.306,0.000,0.306
LR L+W+E+LF+EL,182.309,0.000,182.309,0.853,0.000,0.853,252.645,0.000,252.645,0.817,0.000,0.817,18.116,0.000,18.116,0.333,0.000,0.333
MLP L,173.013,3.469,168.756,0.809,0.016,0.789,246.702,2.294,243.945,0.798,0.007,0.789,16.245,0.447,15.400,0.364,0.012,0.378
MLP L+W,174.239,7.044,167.932,0.815,0.033,0.785,246.431,5.000,241.803,0.797,0.016,0.782,16.338,0.833,15.577,0.365,0.026,0.389
MLP L+W+E,160.013,6.723,151.225,0.748,0.032,0.707,232.966,5.515,228.489,0.753,0.018,0.739,15.258,0.738,13.924,0.433,0.027,0.454
MLP L+W+E+LF,164.726,8.287,153.841,0.770,0.039,0.719,237.686,6.017,228.762,0.768,0.019,0.739,15.574,0.868,14.434,0.409,0.030,0.453
MLP L+W+E+LF+EL,166.079,6.358,159.323,0.777,0.030,0.745,241.457,4.492,236.090,0.780,0.014,0.763,15.757,0.781,14.850,0.391,0.023,0.418
MLP L+W+E+LF+ET,158.687,4.054,150.397,0.742,0.019,0.703,232.139,2.306,227.301,0.750,0.007,0.735,15.076,0.522,14.039,0.437,0.011,0.460
MLP L+W+E+LF+EL+ET,164.058,5.753,157.816,0.767,0.027,0.738,240.022,3.512,236.198,0.776,0.011,0.764,15.594,0.646,14.812,0.398,0.018,0.417
