LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
198.063,195.836,189.192,190.856,182.309,172.137,175.090,158.475,155.406,161.295,158.857,161.856,
198.063,195.836,189.192,190.856,182.309,168.756,167.932,156.753,168.263,160.703,166.293,166.321,
198.063,195.836,189.192,190.856,182.309,169.736,168.664,178.034,177.203,170.169,162.128,178.870,
198.063,195.836,189.192,190.856,182.309,182.490,173.632,162.406,168.985,159.323,157.516,165.544,
198.063,195.836,189.192,190.856,182.309,173.233,171.742,157.479,154.253,162.261,158.927,163.987,
198.063,195.836,189.192,190.856,182.309,176.628,174.720,155.480,154.887,168.793,156.664,163.679,
198.063,195.836,189.192,190.856,182.309,171.685,176.925,168.943,159.642,160.168,163.258,171.664,
198.063,195.836,189.192,190.856,182.309,175.415,168.884,155.197,158.931,173.267,158.270,170.468,
198.063,195.836,189.192,190.856,182.309,172.238,178.109,157.463,174.524,162.138,164.652,161.588,
198.063,195.836,189.192,190.856,182.309,170.366,172.054,156.710,168.394,159.700,158.556,157.901,
198.063,195.836,189.192,190.856,182.309,170.101,170.020,155.869,167.848,165.563,159.034,159.735,
198.063,195.836,189.192,190.856,182.309,169.467,172.557,169.353,158.530,172.443,157.857,158.446,
198.063,195.836,189.192,190.856,182.309,173.167,170.298,158.821,153.841,182.984,150.397,157.816,
198.063,195.836,189.192,190.856,182.309,173.352,174.761,151.225,175.169,165.503,153.714,164.620,
198.063,195.836,189.192,190.856,182.309,176.422,198.193,157.994,175.017,166.882,154.179,158.378,
198.063,195.836,189.192,190.856,182.309,170.612,172.253,159.840,158.066,164.829,151.731,166.570,
198.063,195.836,189.192,190.856,182.309,172.702,167.470,178.808,159.240,166.650,158.337,162.338,
198.063,195.836,189.192,190.856,182.309,176.383,171.885,169.514,159.169,168.887,175.259,166.113,
198.063,195.836,189.192,190.856,182.309,169.292,176.449,157.238,161.928,160.215,154.194,162.788,
198.063,195.836,189.192,190.856,182.309,169.553,172.059,154.563,153.751,163.205,153.064,162.280,
198.063,195.836,189.192,190.856,182.309,187.381,167.867,158.945,160.560,178.519,175.380,163.022,
198.063,195.836,189.192,190.856,182.309,167.902,170.262,158.069,167.666,161.620,154.636,160.954,
198.063,195.836,189.192,190.856,182.309,174.231,172.301,165.826,155.961,164.933,162.278,162.068,
198.063,195.836,189.192,190.856,182.309,172.072,171.574,169.439,168.057,174.426,157.899,163.245,
198.063,195.836,189.192,190.856,182.309,173.618,170.378,155.523,154.356,192.239,158.545,167.510,
198.063,195.836,189.192,190.856,182.309,182.199,169.120,171.501,165.301,158.049,176.519,155.195,
198.063,195.836,189.192,190.856,182.309,169.461,173.897,173.051,163.310,158.498,163.799,158.717,
198.063,195.836,189.192,190.856,182.309,176.017,167.333,161.480,164.124,160.671,171.393,172.871,
198.063,195.836,189.192,190.856,182.309,181.491,169.592,156.420,157.461,159.788,168.870,162.081,
198.063,195.836,189.192,190.856,182.309,174.364,171.218,168.323,157.915,171.006,174.169,160.564,
