LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
19.963,19.720,19.145,19.224,18.116,16.270,16.703,15.289,14.591,15.146,15.304,15.262,
19.963,19.720,19.145,19.224,18.116,15.400,15.577,15.129,15.856,14.850,15.919,16.171,
19.963,19.720,19.145,19.224,18.116,15.816,15.627,17.305,16.907,16.265,15.776,17.221,
19.963,19.720,19.145,19.224,18.116,17.296,16.299,15.500,15.989,14.958,14.867,15.747,
19.963,19.720,19.145,19.224,18.116,16.360,16.166,14.949,14.434,15.267,14.940,15.523,
19.963,19.720,19.145,19.224,18.116,16.819,16.507,14.720,14.552,16.355,14.880,15.560,
19.963,19.720,19.145,19.224,18.116,16.132,16.730,16.302,15.347,15.138,15.868,16.309,
19.963,19.720,19.145,19.224,18.116,16.633,15.683,15.062,14.746,16.854,14.843,16.299,
19.963,19.720,19.145,19.224,18.116,16.204,16.873,15.031,16.544,15.509,15.683,15.335,
19.963,19.720,19.145,19.224,18.116,15.995,15.919,14.830,15.850,14.912,15.080,14.983,
19.963,19.720,19.145,19.224,18.116,15.901,15.709,14.927,16.091,15.454,15.046,14.937,
19.963,19.720,19.145,19.224,18.116,15.797,15.954,15.707,14.880,16.198,14.666,14.812,
19.963,19.720,19.145,19.224,18.116,16.158,15.977,15.166,14.511,17.700,14.039,15.018,
19.963,19.720,19.145,19.224,18.116,16.338,16.291,13.924,16.630,15.793,14.550,15.690,
19.963,19.720,19.145,19.224,18.116,16.553,19.059,15.024,16.678,15.957,14.679,15.038,
19.963,19.720,19.145,19.224,18.116,15.977,16.044,15.216,14.694,15.546,14.241,15.961,
19.963,19.720,19.145,19.224,18.116,16.308,15.555,17.260,14.521,15.806,15.134,15.369,
19.963,19.720,19.145,19.224,18.116,16.016,16.328,16.056,15.257,15.947,16.773,15.784,
19.963,19.720,19.145,19.224,18.116,15.780,16.452,15.066,15.088,15.268,14.566,15.490,
19.963,19.720,19.145,19.224,18.116,15.879,15.978,14.368,14.373,15.504,14.417,15.144,
19.963,19.720,19.145,19.224,18.116,17.684,15.520,15.083,15.107,17.126,16.900,15.715,
19.963,19.720,19.145,19.224,18.116,15.608,15.708,15.082,16.074,15.211,14.497,15.294,
19.963,19.720,19.145,19.224,18.116,16.478,16.134,15.649,14.813,15.641,14.957,15.648,
19.963,19.720,19.145,19.224,18.116,16.176,16.239,16.084,16.153,16.706,15.165,15.242,
19.963,19.720,19.145,19.224,18.116,16.374,15.780,14.631,14.339,18.828,15.114,15.641,
19.963,19.720,19.145,19.224,18.116,17.151,15.781,16.225,15.696,15.156,16.902,14.803,
19.963,19.720,19.145,19.224,18.116,15.704,16.309,16.287,15.683,14.983,15.665,15.114,
19.963,19.720,19.145,19.224,18.116,16.642,15.642,15.335,15.990,15.479,16.423,16.357,
19.963,19.720,19.145,19.224,18.116,17.290,15.749,14.833,14.983,15.229,16.286,15.073,
19.963,19.720,19.145,19.224,18.116,16.390,15.840,16.208,14.840,16.454,16.831,15.543,
