LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.279,0.285,0.323,0.306,0.333,0.378,0.369,0.451,0.444,0.411,0.433,0.405,
0.279,0.285,0.323,0.306,0.333,0.344,0.380,0.452,0.408,0.391,0.415,0.397,
0.279,0.285,0.323,0.306,0.333,0.371,0.377,0.375,0.367,0.378,0.435,0.347,
0.279,0.285,0.323,0.306,0.333,0.337,0.363,0.429,0.394,0.418,0.445,0.387,
0.279,0.285,0.323,0.306,0.333,0.362,0.381,0.447,0.436,0.401,0.427,0.405,
0.279,0.285,0.323,0.306,0.333,0.361,0.363,0.452,0.438,0.382,0.439,0.402,
0.279,0.285,0.323,0.306,0.333,0.369,0.366,0.383,0.427,0.412,0.434,0.372,
0.279,0.285,0.323,0.306,0.333,0.355,0.388,0.449,0.430,0.371,0.439,0.387,
0.279,0.285,0.323,0.306,0.333,0.376,0.358,0.445,0.370,0.406,0.421,0.405,
0.279,0.285,0.323,0.306,0.333,0.378,0.372,0.449,0.404,0.415,0.437,0.417,
0.279,0.285,0.323,0.306,0.333,0.371,0.374,0.454,0.390,0.392,0.436,0.416,
0.279,0.285,0.323,0.306,0.333,0.372,0.363,0.381,0.439,0.355,0.432,0.403,
0.279,0.285,0.323,0.306,0.333,0.370,0.389,0.438,0.453,0.335,0.460,0.417,
0.279,0.285,0.323,0.306,0.333,0.365,0.361,0.438,0.369,0.406,0.453,0.401,
0.279,0.285,0.323,0.306,0.333,0.351,0.273,0.446,0.369,0.386,0.446,0.405,
0.279,0.285,0.323,0.306,0.333,0.368,0.379,0.428,0.439,0.396,0.465,0.394,
0.279,0.285,0.323,0.306,0.333,0.364,0.368,0.364,0.400,0.393,0.445,0.412,
0.279,0.285,0.323,0.306,0.333,0.311,0.376,0.386,0.428,0.379,0.368,0.401,
0.279,0.285,0.323,0.306,0.333,0.377,0.351,0.445,0.413,0.407,0.454,0.414,
0.279,0.285,0.323,0.306,0.333,0.374,0.378,0.444,0.445,0.407,0.457,0.400,
0.279,0.285,0.323,0.306,0.333,0.286,0.384,0.443,0.418,0.346,0.377,0.405,
0.279,0.285,0.323,0.306,0.333,0.378,0.372,0.432,0.397,0.411,0.454,0.412,
0.279,0.285,0.323,0.306,0.333,0.365,0.365,0.402,0.438,0.403,0.392,0.412,
0.279,0.285,0.323,0.306,0.333,0.369,0.378,0.387,0.408,0.356,0.446,0.397,
0.279,0.285,0.323,0.306,0.333,0.370,0.385,0.451,0.435,0.308,0.445,0.381,
0.279,0.285,0.323,0.306,0.333,0.323,0.381,0.385,0.395,0.405,0.377,0.434,
0.279,0.285,0.323,0.306,0.333,0.362,0.359,0.370,0.418,0.421,0.418,0.417,
0.279,0.285,0.323,0.306,0.333,0.375,0.390,0.406,0.411,0.407,0.391,0.372,
0.279,0.285,0.323,0.306,0.333,0.355,0.381,0.451,0.431,0.420,0.414,0.400,
0.279,0.285,0.323,0.306,0.333,0.370,0.373,0.393,0.427,0.383,0.388,0.417,
