LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.926,0.916,0.885,0.893,0.853,0.805,0.819,0.741,0.727,0.754,0.743,0.757,
0.926,0.916,0.885,0.893,0.853,0.789,0.785,0.733,0.787,0.752,0.778,0.778,
0.926,0.916,0.885,0.893,0.853,0.794,0.789,0.833,0.829,0.796,0.758,0.837,
0.926,0.916,0.885,0.893,0.853,0.853,0.812,0.760,0.790,0.745,0.737,0.774,
0.926,0.916,0.885,0.893,0.853,0.810,0.803,0.736,0.721,0.759,0.743,0.767,
0.926,0.916,0.885,0.893,0.853,0.826,0.817,0.727,0.724,0.789,0.733,0.765,
0.926,0.916,0.885,0.893,0.853,0.803,0.827,0.790,0.747,0.749,0.764,0.803,
0.926,0.916,0.885,0.893,0.853,0.820,0.790,0.726,0.743,0.810,0.740,0.797,
0.926,0.916,0.885,0.893,0.853,0.806,0.833,0.736,0.816,0.758,0.770,0.756,
0.926,0.916,0.885,0.893,0.853,0.797,0.805,0.733,0.788,0.747,0.742,0.738,
0.926,0.916,0.885,0.893,0.853,0.796,0.795,0.729,0.785,0.774,0.744,0.747,
0.926,0.916,0.885,0.893,0.853,0.793,0.807,0.792,0.741,0.806,0.738,0.741,
0.926,0.916,0.885,0.893,0.853,0.810,0.796,0.743,0.719,0.856,0.703,0.738,
0.926,0.916,0.885,0.893,0.853,0.811,0.817,0.707,0.819,0.774,0.719,0.770,
0.926,0.916,0.885,0.893,0.853,0.825,0.927,0.739,0.819,0.780,0.721,0.741,
0.926,0.916,0.885,0.893,0.853,0.798,0.806,0.748,0.739,0.771,0.710,0.779,
0.926,0.916,0.885,0.893,0.853,0.808,0.783,0.836,0.745,0.779,0.741,0.759,
0.926,0.916,0.885,0.893,0.853,0.825,0.804,0.793,0.744,0.790,0.820,0.777,
0.926,0.916,0.885,0.893,0.853,0.792,0.825,0.735,0.757,0.749,0.721,0.761,
0.926,0.916,0.885,0.893,0.853,0.793,0.805,0.723,0.719,0.763,0.716,0.759,
0.926,0.916,0.885,0.893,0.853,0.876,0.785,0.743,0.751,0.835,0.820,0.762,
0.926,0.916,0.885,0.893,0.853,0.785,0.796,0.739,0.784,0.756,0.723,0.753,
0.926,0.916,0.885,0.893,0.853,0.815,0.806,0.776,0.729,0.771,0.759,0.758,
0.926,0.916,0.885,0.893,0.853,0.805,0.802,0.792,0.786,0.816,0.738,0.763,
0.926,0.916,0.885,0.893,0.853,0.812,0.797,0.727,0.722,0.899,0.741,0.783,
0.926,0.916,0.885,0.893,0.853,0.852,0.791,0.802,0.773,0.739,0.826,0.726,
0.926,0.916,0.885,0.893,0.853,0.793,0.813,0.809,0.764,0.741,0.766,0.742,
0.926,0.916,0.885,0.893,0.853,0.823,0.783,0.755,0.768,0.751,0.802,0.808,
0.926,0.916,0.885,0.893,0.853,0.849,0.793,0.732,0.736,0.747,0.790,0.758,
0.926,0.916,0.885,0.893,0.853,0.815,0.801,0.787,0.739,0.800,0.815,0.751,
