LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
262.625,261.562,254.560,257.803,252.645,243.945,245.698,229.222,230.776,237.332,232.951,238.594,
262.625,261.562,254.560,257.803,252.645,250.556,243.507,229.053,237.927,241.333,236.590,240.231,
262.625,261.562,254.560,257.803,252.645,245.281,244.225,244.487,246.070,243.895,232.569,249.926,
262.625,261.562,254.560,257.803,252.645,251.816,246.863,233.851,240.780,236.090,230.365,242.119,
262.625,261.562,254.560,257.803,252.645,247.086,243.409,230.127,232.241,239.365,234.271,238.549,
262.625,261.562,254.560,257.803,252.645,247.309,246.812,228.948,231.871,243.206,231.757,239.233,
262.625,261.562,254.560,257.803,252.645,245.803,246.278,243.055,234.080,237.245,232.741,245.114,
262.625,261.562,254.560,257.803,252.645,248.382,241.966,229.611,233.652,245.428,231.729,242.149,
262.625,261.562,254.560,257.803,252.645,244.395,247.866,230.454,245.578,238.448,235.412,238.638,
262.625,261.562,254.560,257.803,252.645,244.034,245.132,229.635,238.790,236.534,232.057,236.198,
262.625,261.562,254.560,257.803,252.645,245.338,244.845,228.489,241.592,241.317,232.267,236.447,
262.625,261.562,254.560,257.803,252.645,245.218,246.855,243.425,231.742,248.516,233.169,238.947,
262.625,261.562,254.560,257.803,252.645,245.633,241.803,231.994,228.762,252.271,227.301,236.245,
262.625,261.562,254.560,257.803,252.645,246.493,247.378,231.841,245.710,238.470,228.722,239.341,
262.625,261.562,254.560,257.803,252.645,249.246,263.834,230.304,245.718,242.403,230.181,238.600,
262.625,261.562,254.560,257.803,252.645,245.993,243.865,233.924,231.771,240.372,226.343,240.830,
262.625,261.562,254.560,257.803,252.645,246.627,245.996,246.803,239.558,241.022,230.542,237.147,
262.625,261.562,254.560,257.803,252.645,256.824,244.466,242.362,233.932,243.878,245.859,239.401,
262.625,261.562,254.560,257.803,252.645,244.203,249.260,230.532,236.938,238.207,228.605,236.836,
262.625,261.562,254.560,257.803,252.645,244.789,243.967,230.625,230.494,238.319,227.970,239.560,
262.625,261.562,254.560,257.803,252.645,261.408,242.739,230.814,235.955,250.205,244.093,238.691,
262.625,261.562,254.560,257.803,252.645,243.957,245.219,233.128,240.219,237.350,228.553,237.197,
262.625,261.562,254.560,257.803,252.645,246.546,246.511,239.232,231.851,238.934,241.161,237.282,
262.625,261.562,254.560,257.803,252.645,245.676,243.999,242.304,237.969,248.346,230.329,240.290,
262.625,261.562,254.560,257.803,252.645,245.464,242.511,229.158,232.588,257.393,230.469,243.355,
262.625,261.562,254.560,257.803,252.645,254.478,243.412,242.545,240.585,238.630,244.137,232.697,
262.625,261.562,254.560,257.803,252.645,247.144,247.692,245.575,235.995,235.321,235.965,236.272,
262.625,261.562,254.560,257.803,252.645,244.643,241.553,238.409,237.384,238.186,241.451,245.092,
262.625,261.562,254.560,257.803,252.645,248.366,243.346,229.260,233.398,235.510,236.897,239.641,
262.625,261.562,254.560,257.803,252.645,245.508,244.927,241.082,234.128,243.047,242.068,236.172,
