LR L,LR L+W,LR L+W+E,LR L+W+E+LF,LR L+W+E+LF+EL,MLP L,MLP L+W,MLP L+W+E,MLP L+W+E+LF,MLP L+W+E+LF+EL,MLP L+W+E+LF+ET,MLP L+W+E+LF+EL+ET
0.849,0.845,0.823,0.833,0.817,0.789,0.794,0.741,0.746,0.767,0.753,0.771,
0.849,0.845,0.823,0.833,0.817,0.810,0.787,0.740,0.769,0.780,0.765,0.777,
0.849,0.845,0.823,0.833,0.817,0.793,0.789,0.790,0.795,0.788,0.752,0.808,
0.849,0.845,0.823,0.833,0.817,0.814,0.798,0.756,0.778,0.763,0.745,0.783,
0.849,0.845,0.823,0.833,0.817,0.799,0.787,0.744,0.751,0.774,0.757,0.771,
0.849,0.845,0.823,0.833,0.817,0.799,0.798,0.740,0.750,0.786,0.749,0.773,
0.849,0.845,0.823,0.833,0.817,0.795,0.796,0.786,0.757,0.767,0.752,0.792,
0.849,0.845,0.823,0.833,0.817,0.803,0.782,0.742,0.755,0.793,0.749,0.783,
0.849,0.845,0.823,0.833,0.817,0.790,0.801,0.745,0.794,0.771,0.761,0.771,
0.849,0.845,0.823,0.833,0.817,0.789,0.792,0.742,0.772,0.765,0.750,0.764,
0.849,0.845,0.823,0.833,0.817,0.793,0.791,0.739,0.781,0.780,0.751,0.764,
0.849,0.845,0.823,0.833,0.817,0.793,0.798,0.787,0.749,0.803,0.754,0.772,
0.849,0.845,0.823,0.833,0.817,0.794,0.782,0.750,0.739,0.815,0.735,0.764,
0.849,0.845,0.823,0.833,0.817,0.797,0.800,0.749,0.794,0.771,0.739,0.774,
0.849,0.845,0.823,0.833,0.817,0.806,0.853,0.744,0.794,0.784,0.744,0.771,
0.849,0.845,0.823,0.833,0.817,0.795,0.788,0.756,0.749,0.777,0.732,0.778,
0.849,0.845,0.823,0.833,0.817,0.797,0.795,0.798,0.774,0.779,0.745,0.767,
0.849,0.845,0.823,0.833,0.817,0.830,0.790,0.783,0.756,0.788,0.795,0.774,
0.849,0.845,0.823,0.833,0.817,0.789,0.806,0.745,0.766,0.770,0.739,0.766,
0.849,0.845,0.823,0.833,0.817,0.791,0.789,0.745,0.745,0.770,0.737,0.774,
0.849,0.845,0.823,0.833,0.817,0.845,0.785,0.746,0.763,0.809,0.789,0.772,
0.849,0.845,0.823,0.833,0.817,0.789,0.793,0.754,0.777,0.767,0.739,0.767,
0.849,0.845,0.823,0.833,0.817,0.797,0.797,0.773,0.749,0.772,0.780,0.767,
0.849,0.845,0.823,0.833,0.817,0.794,0.789,0.783,0.769,0.803,0.745,0.777,
0.849,0.845,0.823,0.833,0.817,0.793,0.784,0.741,0.752,0.832,0.745,0.787,
0.849,0.845,0.823,0.833,0.817,0.823,0.787,0.784,0.778,0.771,0.789,0.752,
0.849,0.845,0.823,0.833,0.817,0.799,0.801,0.794,0.763,0.761,0.763,0.764,
0.849,0.845,0.823,0.833,0.817,0.791,0.781,0.771,0.767,0.770,0.780,0.792,
0.849,0.845,0.823,0.833,0.817,0.803,0.787,0.741,0.754,0.761,0.766,0.775,
0.849,0.845,0.823,0.833,0.817,0.794,0.792,0.779,0.757,0.786,0.782,0.763,
